GenesSet	SDY	Rsq
M	SDY56_PBMC_Young	0.61012766
M	SDY63_PBMC_Young	0.468856383
M	SDY67_PBMC_HealthyAdults	0.36756383
M	SDY739_old	0.571601064
M	SDY739_young	0.467106383
M	SDY80_PBMC_Cohort2	0.483281915
N	GSE107990	0.520638298
N	SDY1119_PBMC_oldHealthy	0.332659574
N	SDY1119_PBMC_youngHealthy	0.197382979
N	SDY1119_PBMC_youngT2D	0.593382979
N	SDY112_Other_GroupA	0.485457447
N	SDY112_Other_GroupB	0.386547872
N	SDY112_Other_GroupC	0.588893617
N	SDY113_Other_IDTIV	0.279
N	SDY113_Other_TIV	0.512212766
N	SDY1276_WholeBlood_Discovery	0.414702128
N	SDY1276_WholeBlood_Validation	0.503414894
N	SDY144_Other_TIV	0.410787234
N	SDY212_PBMC_Older	0.550787234
N	SDY212_PBMC_Young	0.502212766
N	SDY212_WholeBlood_Older	0.348914894
N	SDY212_WholeBlood_Young	0.45706383
N	SDY269_PBMC_TIV	0.467106383
N	SDY270_PBMC_TIVGroup	0.429702128
N	SDY296_WholeBlood_AIRFV	0.490308511
N	SDY301_Other_AIRFV	0.379851064
N	SDY305_Other_TIV	0.497457447
N	SDY311_GroupA	0.476553191
N	SDY311_GroupB	0.309787234
N	SDY311_GroupC	0.503414894
